Temperature(K) Diffusion_Coefficient
300 390.7728037260606 
350 610.603218417792 
400 810.013076844979 
450 1015.675261518763 
500 1586.7825276852014 
550 2878.9350913502742 
600 4336.404033249793 
650 6220.47555384866 
700 8055.56577123687 
750 11203.40657789017 
800 38899.718170870609 
850 50057.11560511158 
900 69937.09904680155 
950 90083.495680947342 
1000 132127.20871861067 
1050 150353.109046097863 
1100 179529.14490798407 
1150 205301.83880104267 
1200 254843.566488049404 
1250 312836.7290117596 
1300 389170.8937837612 
1350 467795.59765645774 
