Time(ps) MSD_Cu(A^2) MSD_Mo(A^2)
1.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+04 2.890269365323233142e-02 0.674045689130130285e-02
2.700000000000000000e+04 4.949675279779384984e-02 0.975617633214907864e-02
4.000000000000000000e+04 6.212865122177322286e-02 1.356162016987098987e-02
5.300000000000000000e+04 8.078591380984996573e-02 1.660923374042526920e-02
6.600000000000000000e+04 1.057654065734017212e-01 1.956956451025117502e-02
7.900000000000000000e+04 1.302695034205579860e-01 2.283242172531951419e-02
9.200000000000000000e+04 1.447710249835121588e-01 2.582951462619408267e-02
1.050000000000000000e+05 1.542706650725802575e-01 2.852084013486216801e-02
1.180000000000000000e+05 1.621781132535306347e-01 2.947163786317521547e-02
1.320000000000000000e+05 1.784279017914035625e-01 3.060754209110769311e-02
1.450000000000000000e+05 1.877510701201287968e-01 3.220273116011951828e-02
1.580000000000000000e+05 1.999654229568661823e-01 3.484443596821298272e-02
1.710000000000000000e+05 2.092535737077155877e-01 3.686804342623950934e-02
1.840000000000000000e+05 2.190332784266417565e-01 3.877809265384871755e-02
1.970000000000000000e+05 2.263936253976954838e-01 3.968242135083089372e-02
2.100000000000000000e+05 2.285659496701919040e-01 4.084953996358919667e-02
2.230000000000000000e+05 2.315945219466081639e-01 4.123528981523839357e-02
2.360000000000000000e+05 2.365760459426527640e-01 4.181108106344309713e-02
2.500000000000000000e+05 2.416743871971559674e-01 4.297331027778721380e-02
