Time(ps) MSD_Cu(A^2) MSD_Mo(A^2)
1.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+04 1.680711995871335566e-02 0.574583758252122023e-02
1.900000000000000000e+04 2.190711995871335566e-02 0.864583758252122023e-02
2.300000000000000000e+04 2.820711995871335566e-02 1.094583758252122023e-02
2.600000000000000000e+04 3.490205421058660495e-02 1.353945388093863211e-02
3.900000000000000000e+04 4.140300708660164486e-02 1.557502967936044291e-02
5.200000000000000000e+04 5.751158049899336211e-02 1.867108939390626723e-02
6.500000000000000000e+04 6.236997517096196791e-02 2.283988312936009275e-02
7.800000000000000000e+04 6.856723810014178722e-02 2.510969371354641345e-02
9.000000000000000000e+04 6.908809751686306733e-02 2.622636692071456667e-02
1.030000000000000000e+05 7.246642780389660199e-02 2.747369862303080077e-02
1.160000000000000000e+05 7.473287971750048719e-02 2.889382898726475988e-02
1.290000000000000000e+05 7.625261154709935505e-02 2.978054916424219348e-02
1.420000000000000000e+05 7.973667539075891963e-02 3.085500288995813342e-02
1.550000000000000000e+05 8.273178479954940107e-02 3.295487332421608873e-02
1.670000000000000000e+05 8.588512702329942300e-02 3.376546213955198483e-02
1.800000000000000000e+05 8.818497999168413198e-02 3.556821928618764705e-02
1.930000000000000000e+05 9.013859010239761882e-02 3.662224049540836382e-02
2.060000000000000000e+05 9.172802076932958193e-02 3.813291381128739022e-02
2.190000000000000000e+05 9.410219653952835750e-02 3.851419259745607829e-02
2.320000000000000000e+05 9.776761793031627190e-02 3.961209074189636992e-02
2.450000000000000000e+05 9.986178966077583139e-02 4.051419259845607829e-02
